,시.도,시군구,"월평균
(ppm)"
0,서울,중구,0.5
1,서울,종로구,0.5
2,서울,중랑구,0.5
3,서울,동대문구,0.5
4,서울,은평구,0.5
5,서울,마포구,0.5
6,서울,영등포구,0.5
7,서울,동작구,0.4
8,서울,관악구,0.5
9,서울,강남구,0.5
10,서울,금천구,0.5
11,서울,강동구,0.5
12,서울,강북구,0.5
13,서울,성북구,0.5
14,서울,용산구,0.4
15,서울,광진구,0.7
16,서울,성동구,0.4
17,서울,도봉구,0.4
18,서울,서대문구,0.5
19,서울,구로구,0.4
20,서울,서초구,0.5
21,서울,강서구,0.5
22,서울,송파구,0.5
23,서울,양천구,0.5
24,서울,노원구,0.5
25,경기남부,,0.48636363636363616
26,경기북부,,0.44666666666666666
27,경기동부,,0.43500000000000005
28,인천,,0.47916666666666674
29,대구,,0.42142857142857154
